fold,site,state,n_inducing,n_train,n_test,ip_selection_time,train_time,infer_time,total_fold_time,stopped_epoch
16,113890_45182,ID,128,48126,726,14.35831786878407,121.78034789813682,0.03212766209617257,136.17079342901707,50
16,113890_45182,ID,256,48126,726,24.62513982038945,117.61624627327546,0.020556250121444464,142.26194234378636,50
16,113890_45182,ID,512,48126,726,44.99162096809596,121.00247131567448,0.04598422395065427,166.0400765077211,50
16,113890_45182,ID,1024,48126,726,106.32533818483353,158.11736163776368,0.03220839612185955,264.47490821871907,50
17,116993_46408,ID,128,48134,718,9.793865320738405,100.70392066705972,0.019298357889056206,110.51708434568718,50
17,116993_46408,ID,256,48134,718,7.843553434126079,85.03689246624708,0.040126599837094545,92.92057250021026,50
17,116993_46408,ID,512,48134,718,19.46787791978568,97.41167296282947,0.034735243767499924,116.91428612638265,50
17,116993_46408,ID,1024,48134,718,31.10566878411919,124.77043324196711,0.02675674669444561,155.90285877278075,50
18,111092_44658,MT,128,48131,721,12.727264041081071,115.46231993567199,0.04409533692523837,128.2336793136783,50
18,111092_44658,MT,256,48131,721,26.792630956042558,110.17965901177377,0.020534906070679426,136.992824873887,50
18,111092_44658,MT,512,48131,721,46.68154499493539,117.57406874094158,0.032239805441349745,164.28785354131833,50
18,111092_44658,MT,1024,48131,721,95.31369949085638,145.19234026735649,0.03775998577475548,240.54379974398762,50
19,111864_42082,ID,128,48168,684,12.186061763204634,106.1129826749675,0.020419339183717966,118.31946377735585,50
19,111864_42082,ID,256,48168,684,18.579742224887013,111.38438799837604,0.021606916096061468,129.98573713935912,50
19,111864_42082,ID,512,48168,684,38.95981076778844,119.20275807008147,0.0337534761056304,158.19632231397554,50
19,111864_42082,ID,1024,48168,684,93.46429545013234,128.39934679167345,0.028050200082361698,221.89169244188815,50
20,116106_44890,ID,128,48129,723,12.305541320238262,123.73781102802604,0.04227726487442851,136.08562961313874,50
20,116106_44890,ID,256,48129,723,22.041268146131188,114.06469492288306,0.021207422018051147,136.1271704910323,50
20,116106_44890,ID,512,48129,723,36.90414823777974,115.91938806790859,0.032984863966703415,152.85652116965503,50
20,116106_44890,ID,1024,48129,723,61.7266660919413,135.67842398490757,0.047709119040519,197.45279919588938,50
21,116348_43601,ID,128,48128,724,12.215916435234249,109.00394662190229,0.0276575218886137,121.24752057902515,50
21,116348_43601,ID,256,48128,724,21.917000640183687,108.83527911314741,0.03727539535611868,130.7895551486872,50
21,116348_43601,ID,512,48128,724,25.76073813205585,101.35273739602417,0.035113959107548,127.14858948718756,50
21,116348_43601,ID,1024,48128,724,45.27825683914125,133.39467511791736,0.027340071741491556,178.7002720288001,50
22,112013_46659,MT,128,48122,730,7.619858486112207,90.7044540271163,0.03272780170664191,98.35704031493515,50
22,112013_46659,MT,256,48122,730,13.286013315897435,104.06048040511087,0.045761215034872293,117.39225493604317,50
22,112013_46659,MT,512,48122,730,27.095044139306992,113.98226805496961,0.04948456026613712,141.12679675454274,50
22,112013_46659,MT,1024,48122,730,46.499745905864984,135.05731601500884,0.026957842987030745,181.58401976386085,50
23,112456_42978,ID,128,48219,633,10.691164412070066,99.37940496392548,0.01981729594990611,110.09038667194545,50
23,112456_42978,ID,256,48219,633,19.98476007208228,100.46593676041812,0.022249937988817692,120.47294677048922,50
23,112456_42978,ID,512,48219,633,20.428016681224108,97.3462987667881,0.022299248725175858,117.79661469673738,50
23,112456_42978,ID,1024,48219,633,48.065989518072456,134.07892947411165,0.03911339398473501,182.18403238616884,50
24,116563_43580,ID,128,48126,726,6.540648076683283,101.7065842859447,0.032163131050765514,108.27939549367875,50
24,116563_43580,ID,256,48126,726,11.186045918148011,99.69796114088967,0.02349625201895833,110.90750331105664,50
24,116563_43580,ID,512,48126,726,29.161594392266124,104.92409631237388,0.04938793834298849,134.135078642983,50
24,116563_43580,ID,1024,48126,726,45.147301979828626,131.45040500629693,0.027560836169868708,176.62526782229543,50
25,111303_47494,MT,128,48125,727,8.37583747599274,98.54747413471341,0.020107161719352007,106.9434187724255,50
25,111303_47494,MT,256,48125,727,13.96679900214076,104.82250851998106,0.03446062607690692,118.82376814819872,50
25,111303_47494,MT,512,48125,727,24.564799989107996,91.67219977360219,0.022829024121165276,116.25982878683135,50
25,111303_47494,MT,1024,48125,727,41.477861628867686,140.76726755592972,0.06152328383177519,182.30665246862918,50
26,105213_43648,WY,128,48361,491,5.209451108705252,98.45025670994073,0.02033228287473321,103.68004010152072,50
26,105213_43648,WY,256,48361,491,12.562790169380605,95.85561014991254,0.031527895014733076,108.44992821430787,50
26,105213_43648,WY,512,48361,491,29.792843915056437,110.4920105249621,0.07293050596490502,140.35778494598344,50
26,105213_43648,WY,1024,48361,491,56.77791118994355,127.98870065202937,0.04583190195262432,184.81244374392554,50
27,111056_45684,MT,128,48142,710,6.218105711042881,91.54227650724351,0.01925256196409464,97.77963478025049,50
