site,state,n_inducing,n_train,n_test,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,train_time,infer_time,ip_time,total_time,stopped_epoch,param_base_scale,param_summer_scale,param_winter_scale,param_seasonal_scale,param_aot_period_days,param_smog_period_days,param_residual_period_days,param_noise
105386_43427,WY,1024,48204,648,0.6205825926978975,0.5070411370942303,0.07619449550006185,2.2802125065399848,1.7446820319413554,-0.04854256585264216,148.8869500029832,0.06336868088692427,83.99071485316381,232.94103353703395,50,0.20615673065185547,0.47287797927856445,0.39489901065826416,0.6222886443138123,330.07561243682255,491.2581522088814,415.2679045374919,0.18187685310840607
112046_43465,ID,128,48133,719,0.5848147630325268,0.4909124249762543,-0.9915958050405658,4.715704518159173,3.4035079940867288,0.07036194114055916,102.42266090633348,0.020212505012750626,9.156407533213496,111.59928094455972,50,0.1282382607460022,0.41954416036605835,0.3738824129104614,0.6445380449295044,497.92534672489836,573.53511158969,396.3621604366637,0.24020780622959137
112046_43465,ID,256,48133,719,0.48917381882255584,0.40419257768052,-0.3934486144860043,4.257818525868509,2.983758688339422,0.24212946924606482,113.381305412855,0.0370110790245235,21.30982164759189,134.7281381394714,50,0.16055966913700104,0.4505156874656677,0.37183359265327454,0.6597316861152649,427.06711506764645,526.1029606991187,399.99998725058555,0.21661368012428284
112046_43465,ID,512,48133,719,0.42744725917005655,0.35048161830195834,-0.06397058500301656,4.028991842728783,2.7122618732730053,0.321400552312354,115.86729232175276,0.04232871299609542,55.533030048944056,171.4426510836929,50,0.1849631667137146,0.45505931973457336,0.3840707838535309,0.6238504648208618,347.75140300231266,491.2447432524703,394.7236793555727,0.19797106087207794
112046_43465,ID,1024,48133,719,0.43606741503203866,0.3562856256629851,-0.10731662113312135,4.003052989361501,2.718934837894953,0.3301101405544967,150.96914817206562,0.027275657281279564,53.0773666263558,204.0737904557027,50,0.20478478074073792,0.47477924823760986,0.40226271748542786,0.6206384897232056,325.2490099071537,490.4151607986833,414.1853270182991,0.18563471734523773
115839_43823,ID,128,48127,725,0.6342073460456332,0.49542416017128726,-0.47204783646887116,7.171133407840204,4.632757777447819,-0.08674103740390371,121.65425253892317,0.05715471692383289,12.755680582020432,134.46708783786744,50,0.13510043919086456,0.41955187916755676,0.38004013895988464,0.6352019906044006,493.5568089054418,579.3677509236804,402.5293529520225,0.2394634485244751
115839_43823,ID,256,48127,725,0.5930070470253287,0.461301682330004,-0.2870016262266588,6.9355943178330115,4.44343134232138,-0.01652444649295992,130.9182679252699,0.04777716472744942,23.052882879041135,154.0189279690385,50,0.16088667511940002,0.45246243476867676,0.39296603202819824,0.653029203414917,418.3567628333315,526.8986503894694,397.50903889986034,0.21684686839580536
115839_43823,ID,512,48127,725,0.6295737578384311,0.5023685813689296,-0.45061652839378685,7.189854156465851,4.730493884924869,-0.09242247160313166,96.17911246838048,0.05365654919296503,45.09897500323132,141.33174402080476,50,0.1805332452058792,0.4674570560455322,0.39119404554367065,0.6397939920425415,349.2314813210456,496.33422634035446,410.8089384699804,0.19676300883293152
115839_43823,ID,1024,48127,725,0.6484406779340067,0.5241020720454217,-0.5388627575240912,7.263651045316926,4.846545716944116,-0.11496287579227293,127.0352204288356,0.05450174491852522,56.32919424213469,183.41891641588882,50,0.2072007656097412,0.47450998425483704,0.40819358825683594,0.620275616645813,333.1263445598728,488.9950129889855,415.7366025773838,0.1853621006011963
116028_46209,ID,128,48122,730,0.43476536101438035,0.34834677440377954,0.21025083611886286,4.07889489847875,2.7742485978554043,0.30136935741301907,111.91096103005111,0.023322970140725374,12.584846254903823,124.51913025509566,50,0.13457812368869781,0.41265153884887695,0.3622990846633911,0.6684234738349915,527.4435247666311,560.4564182464729,399.4424402744881,0.2405683994293213
116028_46209,ID,256,48122,730,0.44255312192858576,0.3581841338021092,0.18170457768346227,4.0949992064200575,2.82082414933115,0.2958417947604203,107.85733017278835,0.021352982614189386,26.198557605035603,134.07724076043814,50,0.1633293628692627,0.45730501413345337,0.380464106798172,0.6437291502952576,419.7453259157922,522.6290257619354,402.650537299887,0.2157520055770874
116028_46209,ID,512,48122,730,0.43939172243951014,0.3555870083038915,0.19335388516908825,4.040217102430197,2.7932182085774726,0.31455595799796066,112.33259465917945,0.02289169281721115,42.4661434632726,154.82162981526926,50,0.1856730878353119,0.47530442476272583,0.38916265964508057,0.6340501308441162,345.21557230020835,502.473789182944,412.856308038937,0.1961340755224228
116028_46209,ID,1024,48122,730,0.44470872644951115,0.3617263759997624,0.17371359485416826,4.072058946011652,2.8254756792414524,0.3037091107135832,146.35554408701137,0.02702953666448593,46.03939667111263,192.42197029478848,50,0.21023288369178772,0.4747447073459625,0.3961879312992096,0.6219847798347473,328.8654452890111,486.8275964176556,423.3904245283047,0.18482741713523865
116960_46722,ID,128,48133,719,0.6545984698883942,0.5234724991782435,0.06216396771349897,3.61276032609312,2.387067942761948,0.6404491197918292,105.74481063289568,0.04431422986090183,10.116193251684308,115.90531811444089,50,0.13528774678707123,0.4150714576244354,0.36889803409576416,0.6599470973014832,498.6718780038859,563.2942350848964,401.9371330598839,0.23926426470279694
116960_46722,ID,256,48133,719,0.6782914831707396,0.5464875476893667,-0.006954091547223706,3.6397479511610995,2.549700428768878,0.6350573051299535,100.66426469525322,0.0369652989320457,12.571359036955982,113.27258903114125,50,0.1576066017150879,0.4408896565437317,0.37190327048301697,0.6399672031402588,418.5405278785232,514.7522920384939,404.37678502166386,0.21389958262443542
116960_46722,ID,512,48133,719,0.8549725092391733,0.7199135919912238,-0.5998572889608913,4.545633684046234,3.675258498847599,0.43079209418834474,118.4434715481475,0.03677440667524934,46.80470386194065,165.2849498167634,50,0.19178958237171173,0.4699624478816986,0.377708375453949,0.642885148525238,351.1391152833728,499.5230876430867,413.6524031296866,0.19427397847175598
116960_46722,ID,1024,48133,719,0.9305684132399286,0.798846436618821,-0.8952807732285823,5.0102991189475885,4.237728147200847,0.3084726471370567,149.0878947461024,0.06835651397705078,85.89202853338793,235.04827979346737,50,0.2087935209274292,0.475994735956192,0.39599624276161194,0.6299329400062561,329.61536005947846,486.2819882436099,426.70895897112746,0.1830507069826126
116571_47317,ID,128,48125,727,0.41775299462576515,0.33381809356291237,0.5220746251554984,6.605874071924166,4.132313369385831,0.46175635691752925,107.05721473507583,0.041129065211862326,6.136880272999406,113.2352240732871,50,0.1387326419353485,0.42230990529060364,0.3814805746078491,0.64068603515625,500.2015792323795,582.6258850646616,401.29480035877623,0.24273474514484406
116571_47317,ID,256,48125,727,0.4536237837973954,0.36662751118440123,0.436475789077855,6.9980737916252345,4.392855871295722,0.395946557640939,103.90839172480628,0.020957237109541893,15.35969068389386,119.28903964580968,50,0.15199530124664307,0.4536072611808777,0.38339006900787354,0.6409066319465637,411.057649141391,522.3846357913783,400.35996332453607,0.21497943997383118
116571_47317,ID,512,48125,727,0.4645689266793969,0.37780904747371125,0.4089540279030379,7.170033652837921,4.499348820480152,0.3658956733691908,111.89291233196855,0.04142115218564868,36.06295277597383,147.99728626012802,50,0.18885599076747894,0.4673350155353546,0.3804730474948883,0.6485517621040344,353.28087564297203,501.6011097446851,407.3539990160462,0.19575998187065125
116571_47317,ID,1024,48125,727,0.4863364296727804,0.39950796215087875,0.35226919738357443,7.435599423081909,4.7169514115879245,0.3180535098701477,152.01868347916752,0.031122069340199232,87.6744469688274,239.72425251733512,50,0.20855571329593658,0.46777498722076416,0.40450993180274963,0.6273834109306335,333.252804741476,496.9967846656126,423.18196722260416,0.18443654477596283
115972_44104,ID,128,48125,727,0.5107658164487514,0.38860929096622004,0.2052493437794487,4.105090060551312,2.8367883942317693,0.3919713071579083,95.8910609697923,0.020687006879597902,12.281385003123432,108.19313297979534,50,0.1347772479057312,0.4093899130821228,0.36184781789779663,0.6583997011184692,501.0878984060512,577.2503552190734,403.170295786002,0.23813585937023163
