fold,site,state,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
55,114928_44170,ID,0.11721841245889664,0.0531182736158371,0.36832353472709656,0.036146845668554306,546.8176216207469,230.5768009004149,577.0455306826398,0.13614460825920105
56,108720_47582,MT,0.11143236607313156,0.03817585110664368,0.2716390788555145,0.031208248808979988,457.2238740581468,230.25573876907436,435.55370612906114,0.14802874624729156
57,113997_48510,MT,0.10757844150066376,0.04765243083238602,0.3750595152378082,0.08006865531206131,519.1034507369786,232.4272804911894,581.1897665553149,0.13127298653125763
58,111712_46826,MT,0.11312098056077957,0.05886905640363693,0.25351235270500183,0.3085511028766632,463.5371487961391,445.0100009440594,385.7964881875437,0.16292409598827362
59,113155_47122,MT,0.11849381774663925,0.08947388827800751,0.3264444172382355,0.07094196230173111,514.6777838284479,304.4362057076634,477.1040618047273,0.13834230601787567
60,114001_45860,MT,0.1164754256606102,0.04451926052570343,0.3165299892425537,0.06167418509721756,539.8006584446124,306.1066329185046,507.6673093081153,0.13977362215518951
61,115672_47955,MT,0.0935736894607544,0.04625774174928665,0.3441075384616852,0.091896191239357,371.60536909220724,284.26577918338813,420.2153040563659,0.12695804238319397
62,104476_48487,MT,0.11086490005254745,0.04994688183069229,0.41528111696243286,0.01708582229912281,518.5564703389775,177.98990470387824,508.6678111865837,0.1356552243232727
63,104818_41137,WY,0.11697664856910706,0.05568666011095047,0.34492698311805725,0.052574507892131805,440.51303304789957,303.27303668062234,446.9539915314404,0.14371095597743988
64,106956_44815,WY,0.11312740296125412,0.05263238400220871,0.3213738799095154,0.21893168985843658,493.34481503765676,399.4554867401185,473.51421007109997,0.1632189303636551
65,109759_42975,WY,0.11873820424079895,0.04681859165430069,0.3296380937099457,0.06174122914671898,526.7086443288646,307.8185740853756,476.1586674480534,0.14849916100502014
66,110401_44565,WY,0.11024945974349976,0.05596213787794113,0.3276293873786926,0.05870726332068443,476.3999316742767,283.2126326533622,431.71906269012885,0.13306164741516113
67,108736_42842,WY,0.11245164275169373,0.037171270698308945,0.2746813893318176,0.022340217605233192,499.0169060605974,259.8344602713104,390.2248511375843,0.1348344087600708
68,114270_47773,MT,0.11523382365703583,0.09237596392631531,0.3485082983970642,0.08163900673389435,210.77526728526323,259.3483914563501,314.91957252339694,0.13956129550933838
69,105103_48308,MT,0.11058361083269119,0.04737869277596474,0.37054070830345154,0.11742807924747467,467.63744624639435,290.3230238670552,399.076665267827,0.13512009382247925
70,106557_45648,MT,0.12147292494773865,0.045268259942531586,0.4043782651424408,0.04495776817202568,370.8856207617671,256.5101849430453,374.85081216475334,0.150994673371315
71,105290_44652,WY,0.0966346338391304,0.03808513656258583,0.27169790863990784,0.04116237163543701,536.0964485260955,288.58660591794325,503.96909559560953,0.13948945701122284
72,113484_47177,MT,0.10878165811300278,0.08896215260028839,0.292331337928772,0.15359635651111603,482.59884658497964,247.35820671008904,456.7770727232321,0.13998496532440186
73,110798_43458,WY,0.11186141520738602,0.06601854413747787,0.3479554057121277,0.11084578931331635,450.62984541100514,344.11723108246355,460.1683942480452,0.13776957988739014
74,105540_44503,WY,0.1069568544626236,0.05259930342435837,0.3975924253463745,0.07492098957300186,563.2101780346668,364.8148293113672,411.38471539541206,0.14447028934955597
75,109069_44525,WY,0.1006908118724823,0.07939428836107254,0.28124260902404785,0.09996296465396881,483.48476311301283,341.06171669547285,443.8692049904241,0.1296178698539734
76,109221_41593,WY,0.11043325066566467,0.03455681726336479,0.32829099893569946,0.014339801855385303,421.91628803112286,269.4941896356628,387.17731869625175,0.14043253660202026
77,105592_41312,WY,0.10352759063243866,0.03585856407880783,0.2828274667263031,0.06233828142285347,561.5111384988464,312.8121085581497,433.33121479891327,0.15150374174118042
78,106325_42851,WY,0.12186795473098755,0.029931964352726936,0.315327525138855,0.03352218121290207,531.0202487528651,210.28178878225745,426.68337469315384,0.14265818893909454
79,109640_42846,WY,0.10337895900011063,0.04934459552168846,0.32919421792030334,0.07096553593873978,532.7067917671526,261.9108658299405,378.5657295229879,0.1373259574174881
80,106964_44783,WY,0.10347645729780197,0.06506060063838959,0.3901500403881073,0.03206045553088188,530.3199512455787,338.87630155302,398.27397507366146,0.1439254730939865
81,103228_44078,SD,0.10517346113920212,0.04511614888906479,0.33006781339645386,0.053867157548666,446.734549472408,269.31688630149995,412.18900875146454,0.1448110193014145
82,109382_44745,WY,0.1009739488363266,0.04981653392314911,0.35133981704711914,0.02798343449831009,391.73698248933624,240.44761291331574,419.730878526708,0.11260027438402176
83,110745_43483,WY,0.09368279576301575,0.05302918329834938,0.3516457676887512,0.026014717295765877,564.293539428176,252.30466253508908,520.5060104145679,0.12828661501407623
84,109017_44526,WY,0.09376654773950577,0.04189737141132355,0.3000437617301941,0.1910959780216217,492.57481071169724,342.98935008354164,359.21896963341595,0.1270321011543274
85,104523_41085,WY,0.11313864588737488,0.019456936046481133,0.2939382493495941,0.008225852623581886,580.9833669336106,286.2234494696238,598.5815844156931,0.12554766237735748
86,106365_42822,WY,0.1080145314335823,0.05843925476074219,0.32233333587646484,0.08007802069187164,521.1272439737645,361.6680366437189,469.4878125802487,0.15190120041370392
