fold,site,state,n_train,n_unique_dates,n_days_per_batch,avg_batch_size,n_test,train_time,fold_time,stopped_epoch
30,106490_45366,MT,48145,730,3,200.12345679012347,707,1.7334474478848279,13.9808490939904,81
31,114189_48364,MT,48126,730,3,195.6,726,2.43838613294065,16.07508089975454,95
32,111987_46850,MT,48124,730,3,196.07291666666666,728,1.6593439260032028,14.24911234807223,96
33,104778_41182,WY,48122,730,3,194.85227272727272,730,1.6484346070792526,14.316248487913981,88
34,109455_47049,MT,48128,730,3,195.08695652173913,724,1.5632940919604152,14.34830823726952,92
35,107862_48318,MT,48126,730,3,198.32258064516128,726,2.6415544729679823,16.79487079847604,93
36,107549_43082,WY,48163,730,3,200.77272727272728,689,2.336242637131363,14.134627009741962,88
37,108720_42530,WY,48126,730,3,199.37755102040816,726,2.4544665610883385,14.010017157765105,98
38,114371_43683,ID,48173,730,3,199.16842105263157,679,2.3405026299878955,14.076226357137784,95
39,116557_48292,ID,48130,730,3,198.37,722,3.945723197888583,17.031430118251592,100
40,114252_42680,ID,48164,730,3,196.77124183006535,688,2.553140109172091,14.811480464413762,153
41,116805_47789,ID,48166,730,3,197.8503937007874,686,2.3788354760035872,14.570545201655477,127
42,116806_46397,ID,48162,730,3,197.8,690,1.576849623117596,14.400885983603075,80
43,116536_46335,ID,48595,730,3,201.8840579710145,257,3.112409722059965,14.039967516902834,69
44,114495_42565,ID,48125,730,3,197.85416666666666,727,2.529526179889217,15.495806772261858,96
45,106278_42846,WY,48827,730,3,201.53125,25,3.5394107620231807,18.75586003274657,128
46,110831_44373,WY,48186,730,3,199.54945054945054,666,1.9737733949441463,15.045928250998259,91
47,104677_47868,MT,48148,730,3,198.97435897435898,704,4.440356428967789,14.987703596940264,117
48,105586_41303,WY,48758,730,3,201.08139534883722,94,3.2515976389404386,16.725837756879628,172
49,106962_44804,WY,48591,730,3,198.9185185185185,261,2.1781981450039893,15.928024163236842,135
50,103379_46894,ND,48127,730,3,193.84615384615384,725,2.6589125129394233,16.388843946857378,91
51,103484_43558,SD,48126,730,3,199.58139534883722,726,3.2072866330854595,14.989540484268218,86
52,103300_47581,ND,48134,730,3,198.83809523809524,718,2.2035391109529883,14.795092020882294,105
53,103640_48153,ND,48131,730,3,192.31372549019608,721,1.99720328184776,14.880297514144331,102
54,113562_43461,ID,48634,730,3,201.52747252747253,218,3.3313932248856872,16.531673674006015,91
55,114928_44170,ID,48666,730,3,196.71296296296296,186,3.533172325929627,15.682250248501077,108
56,108720_47582,MT,48630,730,3,199.62992125984252,222,3.2633652992080897,16.012999336235225,127
57,113997_48510,MT,48631,730,3,203.25301204819277,221,1.9557362799532712,15.656712121097371,83
58,111712_46826,MT,48705,730,3,198.1038961038961,147,2.86089293891564,16.28757965704426,77
59,113155_47122,MT,48629,730,3,200.29661016949152,223,2.4853073111735284,14.144801654154435,118
60,114001_45860,MT,48616,730,3,201.27659574468086,236,2.2573254129383713,15.017095345072448,94
61,115672_47955,MT,48634,730,3,197.37234042553192,218,2.6778136941138655,15.819944058777764,94
62,104476_48487,MT,48636,730,3,201.05298013245033,216,3.7864942951127887,16.451878047781065,151
63,104818_41137,WY,48629,730,3,200.23611111111111,223,4.010699314065278,16.787439106730744,144
64,106956_44815,WY,48632,730,3,200.29333333333332,220,2.125442143995315,15.298060819273815,75
65,109759_42975,WY,48636,730,3,199.72826086956522,216,2.177456167060882,15.406631168210879,92
66,110401_44565,WY,48631,730,3,198.02702702702703,221,3.1556912430096418,16.09525859123096,111
67,108736_42842,WY,48632,730,3,194.31012658227849,220,3.5172830291558057,15.89055129303597,158
68,114270_47773,MT,48641,730,3,196.3490566037736,211,2.9961033209692687,16.71322629158385,106
69,105103_48308,MT,48654,730,3,197.62886597938143,198,2.1328573229257017,15.256651022471488,97
70,106557_45648,MT,48617,730,3,200.51639344262296,235,3.6561360601335764,16.065003811148927,122
71,105290_44652,WY,48624,730,3,202.69,228,4.128406301140785,16.931808276567608,100
72,113484_47177,MT,48124,730,3,199.31683168316832,728,2.68116177408956,15.024070257786661,101
73,110798_43458,WY,48632,730,3,200.26373626373626,220,2.2583329339977354,14.960175593849272,91
74,105540_44503,WY,48397,730,3,198.8021978021978,455,4.404195067007095,17.3009337161202,91
75,109069_44525,WY,48618,730,3,201.8658536585366,234,1.8201153769623488,14.18903174996376,82
76,109221_41593,WY,48613,730,3,197.37575757575758,239,3.374079507077113,15.707607489544898,165
77,105592_41312,WY,48618,730,3,199.3181818181818,234,2.172606085194275,15.445267825154588,88
78,106325_42851,WY,48623,730,3,199.1206896551724,229,3.9708415581844747,15.050259350799024,116
79,109640_42846,WY,48623,730,3,198.91304347826087,229,2.513549419818446,14.615367812570184,92
80,106964_44783,WY,48616,730,3,196.45901639344262,236,3.6470327391289175,17.33477463806048,122
81,103228_44078,SD,48615,730,3,200.21904761904761,237,2.709135794080794,15.919912958983332,105
82,109382_44745,WY,48638,730,3,197.27272727272728,214,3.6045245178975165,15.825785700697452,121
83,110745_43483,WY,48430,730,3,201.38655462184875,422,2.7893903160002083,14.373448805883527,119
84,109017_44526,WY,48443,730,3,201.04545454545453,409,2.295539888786152,15.58169559808448,88
85,104523_41085,WY,48418,730,3,202.14367816091954,434,4.077651753090322,18.108659947291017,174
86,106365_42822,WY,48642,730,3,204.97402597402598,210,2.1025420429650694,14.70930570201017,77
87,116215_43648,ID,48707,730,3,199.05607476635515,145,2.5227035959251225,14.58389566000551,107
88,116827_47715,ID,48837,730,3,202.6629213483146,15,2.3752705010119826,15.756128336768597,89
89,102402_48642,ND,48500,730,3,200.48863636363637,352,4.031940093962476,17.614479672396556,88
90,102646_47342,ND,48498,730,3,201.80612244897958,354,3.7327051488682628,15.277444388018921,98
91,108041_44280,WY,48489,730,3,202.53658536585365,363,2.718331814976409,15.108304671943188,123
92,104192_43873,WY,48500,730,3,202.14473684210526,352,2.3816720601171255,15.783654974773526,76
93,105920_44340,WY,48659,730,3,198.9078947368421,193,2.6268018048722297,15.340434884652495,76
94,113787_42608,ID,48691,730,3,200.77981651376146,161,2.805626583052799,14.518176396610215,109
95,116896_46921,ID,48691,730,3,201.5035460992908,161,4.123490436002612,17.007837294833735,141
96,116709_46579,ID,48702,730,3,202.06578947368422,150,2.2391901458613575,15.369726965669543,76
97,116359_48998,ID,48726,730,3,198.90526315789472,126,3.7836446270812303,15.770380712812766,95
98,111615_42652,ID,48689,730,3,202.84313725490196,163,3.1728295139037073,15.459760791854933,102
99,111800_43809,ID,48699,730,3,207.27450980392157,153,2.8351274700835347,14.976471324218437,102
100,116979_44262,ID,48711,730,3,200.83098591549296,141,3.272149834083393,16.982727248687297,142
101,116347_46061,ID,48692,730,3,199.56382978723406,160,2.673706001834944,14.599091991083696,94
102,115195_48971,MT,48774,730,3,199.53781512605042,78,3.1234540659934282,15.283817685209215,119
103,112459_42590,ID,48709,730,3,197.94392523364485,143,2.527065078029409,15.542888777330518,107
104,103264_47601,ND,48685,730,3,200.56521739130434,167,2.3889755608979613,15.240183894289657,92
105,116359_48894,ID,48728,730,3,201.99122807017545,124,4.017858748091385,17.545867579057813,114
106,116886_47339,ID,48643,730,3,200.20731707317074,209,2.4248501490801573,15.304966354044154,82
107,109677_48551,MT,48649,730,3,200.6074074074074,203,3.622422805055976,15.135837940964848,135
108,112364_48607,MT,48667,730,3,198.76190476190476,185,2.1519155690912157,15.541638287017122,63
109,105620_41320,WY,48782,730,3,198.8,70,2.7605755049735308,15.911969227250665,90
110,106814_41452,WY,48841,730,3,198.4,11,3.313206762075424,15.890884160296991,105
111,114096_46927,MT,48846,730,3,199.1413043478261,6,2.5523013800848275,15.551721907686442,92
