site,state,n_obs,rmse_log,mae_log,r2_log
116709_46579,ID,150,0.4015914696027918,0.32545276307898374,-1.6862598301843632
116359_48998,ID,126,0.39962323564310614,0.3536749941048363,-4.011569457046981
111615_42652,ID,163,0.38022092277787295,0.29631302180021635,-1.5283744753220945
111800_43809,ID,153,0.23435177866120468,0.17758775252904452,-2.9266052978922588
116979_44262,ID,141,0.4085462677245465,0.35260842550302596,-9.627580732570085
116347_46061,ID,160,0.37788905774567266,0.2673819991192229,-0.48871494022827666
115195_48971,MT,78,1.5967226133685304,1.5718638838018049,-48.84132255482949
112459_42590,ID,143,0.6272075696079493,0.5614112158849994,-2.2381488244188303
103264_47601,ND,167,0.631782579682739,0.5340016037737304,-0.7317620124176443
116359_48894,ID,124,0.47813295737401207,0.41516926302267815,-3.4975570722468543
116886_47339,ID,209,0.5086257496141398,0.40201811454050046,-0.14828758184953372
109677_48551,MT,203,0.33671549147854674,0.2601475137471484,-0.47966706204252874
112364_48607,MT,185,0.6015053024261343,0.46349371393643995,-1.100830425149789
105620_41320,WY,70,0.31409650221007934,0.25208611146661664,-1.2170227418301742
106814_41452,WY,11,0.4057328712688163,0.3615923683750292,0.04340434345661481
114096_46927,MT,6,0.5451201959989744,0.4274106346033116,0.41684859002460406
