fold,site,state,n_train,n_unique_dates,n_days_per_batch,avg_batch_size,n_test,train_time,fold_time,stopped_epoch
71,105290_44652,WY,48624,730,1,67.61904761904762,228,2.7634154660627246,16.138160455971956,105
72,113484_47177,MT,48124,730,1,64.99009900990099,728,3.41135399392806,15.482986563351005,101
73,110798_43458,WY,48632,730,1,67.93457943925233,220,2.4724912110250443,15.389123536413535,107
74,105540_44503,WY,48397,730,1,64.10112359550561,455,2.414724955102429,15.448928095865995,89
75,109069_44525,WY,48618,730,1,70.0379746835443,234,2.3072040691040456,16.349740878446028,79
76,109221_41593,WY,48613,730,1,67.87692307692308,239,2.8198760880623013,16.005014955066144,65
77,105592_41312,WY,48618,730,1,65.85227272727273,234,2.612092271912843,15.14452498452738,88
78,106325_42851,WY,48623,730,1,67.33695652173913,229,2.483089628163725,15.044974131044,92
79,109640_42846,WY,48623,730,1,67.64615384615385,229,3.096840468933806,15.520766502479091,65
80,106964_44783,WY,48616,730,1,65.83157894736843,236,3.0510527009610087,15.420756988227367,95
81,103228_44078,SD,48615,730,1,68.5050505050505,237,2.8965386368799955,15.166797602083534,99
82,109382_44745,WY,48638,730,1,65.03883495145631,214,2.8281491219531745,14.866439821431413,103
83,110745_43483,WY,48430,730,1,65.94642857142857,422,2.5150868620257825,15.242770041106269,112
84,109017_44526,WY,48443,730,1,66.96666666666667,409,3.2598511578980833,14.960380962816998,90
85,104523_41085,WY,48418,730,1,69.75806451612904,434,1.9654481220059097,15.969818988116458,62
86,106365_42822,WY,48642,730,1,70.10126582278481,210,2.165936012053862,15.910134728765115,79
87,116215_43648,ID,48707,730,1,66.22666666666667,145,2.3024509609676898,16.68823745334521,75
88,116827_47715,ID,48837,730,1,66.07142857142857,15,3.011344966944307,16.233027243986726,98
89,102402_48642,ND,48500,730,1,67.21348314606742,352,2.6482010860927403,15.191435196204111,89
90,102646_47342,ND,48498,730,1,67.44578313253012,354,3.42826964892447,14.942804238991812,166
91,108041_44280,WY,48489,730,1,67.40869565217392,363,2.696018913993612,15.7431607961189,115
92,104192_43873,WY,48500,730,1,66.14492753623189,352,3.712416575057432,16.510493414476514,138
93,105920_44340,WY,48659,730,1,67.47368421052632,193,1.6991856670938432,14.878680441295728,76
94,113787_42608,ID,48691,730,1,67.64583333333333,161,2.713054656982422,16.358735672896728,96
95,116896_46921,ID,48691,730,1,64.9090909090909,161,2.3666143601294607,16.394455070840195,77
96,116709_46579,ID,48702,730,1,68.17525773195877,150,2.8201037619728595,14.84522357978858,97
97,116359_48998,ID,48726,730,1,67.13868613138686,126,2.468450960004702,14.966311355587095,137
98,111615_42652,ID,48689,730,1,67.41428571428571,163,1.6635641679167747,14.115545086329803,70
99,111800_43809,ID,48699,730,1,69.42592592592592,153,3.463875334011391,16.799728479934856,162
100,116979_44262,ID,48711,730,1,66.57037037037037,141,3.0755231000948697,15.00459181680344,135
101,116347_46061,ID,48692,730,1,70.10344827586206,160,2.153131987899542,16.2315589976497,58
102,115195_48971,MT,48774,730,1,66.0,78,2.3446614099666476,16.363735189894214,80
103,112459_42590,ID,48709,730,1,64.53846153846153,143,3.0072832119185477,16.485965519677848,104
104,103264_47601,ND,48685,730,1,67.98947368421052,167,2.6286953079979867,15.285313778789714,95
105,116359_48894,ID,48728,730,1,67.23275862068965,124,2.5834215830545872,15.55009916308336,116
106,116886_47339,ID,48643,730,1,66.88372093023256,209,2.1645760159008205,15.952216630568728,86
107,109677_48551,MT,48649,730,1,66.97080291970804,203,4.5389872379601,19.215118998894468,137
108,112364_48607,MT,48667,730,1,64.37962962962963,185,2.6133087468333542,15.456660575699061,108
109,105620_41320,WY,48782,730,1,68.07058823529412,70,3.2025798158720136,15.75501099601388,85
110,106814_41452,WY,48841,730,1,68.24137931034483,11,2.0344260688871145,15.776558890007436,58
111,114096_46927,MT,48846,730,1,68.07352941176471,6,2.2297726878896356,17.074444852070883,68
