fold,site,state,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
68,114270_47773,MT,0.08816947042942047,0.08283853530883789,0.19396524131298065,0.4355461299419403,365.2499850505605,365.2499850505605,365.2499850505605,0.11714174598455429
69,105103_48308,MT,0.11056255549192429,0.06465191394090652,0.392465204000473,0.06737782061100006,365.2499878335819,365.2499878335819,365.2499878335819,0.15954364836215973
70,106557_45648,MT,0.08872019499540329,0.052004504948854446,0.3700267970561981,0.08357129245996475,365.2499999925093,365.2499999925093,365.2499999925093,0.15090981125831604
71,105290_44652,WY,0.08563663065433502,0.04056564345955849,0.23632526397705078,0.027825603261590004,365.24998860311666,365.24998860311666,365.24998860311666,0.10837878286838531
72,113484_47177,MT,0.10264592617750168,0.04591769725084305,0.24708008766174316,0.058007895946502686,365.25000255810863,365.25000255810863,365.25000255810863,0.11771678179502487
73,110798_43458,WY,0.0816785991191864,0.03221568837761879,0.21301652491092682,0.032370153814554214,365.2499945277006,365.2499945277006,365.2499945277006,0.10721400380134583
74,105540_44503,WY,0.09136966615915298,0.05136103928089142,0.3260796070098877,0.03348982706665993,365.2499958692352,365.2499958692352,365.2499958692352,0.1553662270307541
75,109069_44525,WY,0.08681818097829819,0.06901908665895462,0.25756320357322693,0.09007946401834488,365.25001153224866,365.25001153224866,365.25001153224866,0.11953989416360855
76,109221_41593,WY,0.08678426593542099,0.06306946277618408,0.19320349395275116,0.2290898561477661,365.2500003023298,365.2500003023298,365.2500003023298,0.09624719619750977
77,105592_41312,WY,0.10060783475637436,0.025608884170651436,0.20706960558891296,0.03097027726471424,365.2500055311116,365.2500055311116,365.2500055311116,0.15027186274528503
78,106325_42851,WY,0.10472508519887924,0.044524695724248886,0.337597131729126,0.04545307904481888,365.2500018150096,365.2500018150096,365.2500018150096,0.1480439305305481
79,109640_42846,WY,0.0853983461856842,0.05062856525182724,0.16884735226631165,0.2581371068954468,365.25001009818584,365.25001009818584,365.25001009818584,0.09918602555990219
80,106964_44783,WY,0.08454433083534241,0.04004431888461113,0.3196737766265869,0.04372093454003334,365.2499876830028,365.2499876830028,365.2499876830028,0.14730364084243774
81,103228_44078,SD,0.07646843045949936,0.027122141793370247,0.26488223671913147,0.02014322020113468,365.24999250329813,365.24999250329813,365.24999250329813,0.14274008572101593
82,109382_44745,WY,0.08521316945552826,0.05193457007408142,0.344460129737854,0.03018133156001568,365.25000979159006,365.25000979159006,365.25000979159006,0.13895951211452484
83,110745_43483,WY,0.10100419074296951,0.026732927188277245,0.2539304792881012,0.04295295476913452,365.24998804001797,365.24998804001797,365.24998804001797,0.1313219517469406
84,109017_44526,WY,0.0758444145321846,0.03318174555897713,0.25460878014564514,0.12354913353919983,365.24999448655484,365.24999448655484,365.24999448655484,0.1357402503490448
85,104523_41085,WY,0.0933779925107956,0.07486189901828766,0.18955133855342865,0.263378381729126,365.24999021768065,365.24999021768065,365.24999021768065,0.10124403238296509
86,106365_42822,WY,0.11346787959337234,0.05561365559697151,0.4290871024131775,0.10803262144327164,365.25000550217203,365.25000550217203,365.25000550217203,0.1518251895904541
87,116215_43648,ID,0.09152021259069443,0.040390919893980026,0.2283351868391037,0.1669839769601822,365.24999666508114,365.24999666508114,365.24999666508114,0.10499592870473862
88,116827_47715,ID,0.09252291172742844,0.02464582771062851,0.29445838928222656,0.032701440155506134,365.24998958552555,365.24998958552555,365.24998958552555,0.10870227962732315
89,102402_48642,ND,0.09195674955844879,0.040474239736795425,0.2875383496284485,0.05003562197089195,365.2500187691331,365.2500187691331,365.2500187691331,0.14382272958755493
90,102646_47342,ND,0.1102679967880249,0.03896189481019974,0.24695196747779846,0.01688060536980629,365.2500213492973,365.2500213492973,365.2500213492973,0.12900204956531525
91,108041_44280,WY,0.11503179371356964,0.03882984817028046,0.3782109320163727,0.1002863273024559,365.24999621636357,365.24999621636357,365.24999621636357,0.12492600828409195
92,104192_43873,WY,0.10539933294057846,0.06141381338238716,0.36298274993896484,0.040830034762620926,365.2500010005513,365.2500010005513,365.2500010005513,0.13555116951465607
93,105920_44340,WY,0.09283331781625748,0.059802427887916565,0.20468218624591827,0.3581225574016571,365.2499683044782,365.2499683044782,365.2499683044782,0.13535670936107635
94,113787_42608,ID,0.12254064530134201,0.039869654923677444,0.3219321072101593,0.2089424580335617,365.25000237776976,365.25000237776976,365.25000237776976,0.14410783350467682
95,116896_46921,ID,0.10138815641403198,0.03528892993927002,0.27110105752944946,0.13570481538772583,365.25000237776976,365.25000237776976,365.25000237776976,0.14100369811058044
96,116709_46579,ID,0.08827480673789978,0.04237700253725052,0.3447222411632538,0.03269461542367935,365.2500027728524,365.2500027728524,365.2500027728524,0.1501777619123459
97,116359_48998,ID,0.10075507313013077,0.026563111692667007,0.2848317623138428,0.03171076625585556,365.25000237815374,365.25000237815374,365.25000237815374,0.10827548056840897
98,111615_42652,ID,0.09237797558307648,0.05401187017560005,0.26417744159698486,0.30032745003700256,365.2500067919269,365.2500067919269,365.2500067919269,0.1256481260061264
99,111800_43809,ID,0.11407893896102905,0.02347283437848091,0.33612266182899475,0.007538630161434412,365.24999061814316,365.24999061814316,365.24999061814316,0.12937596440315247
100,116979_44262,ID,0.09419625252485275,0.03173459321260452,0.27550208568573,0.024561269208788872,365.2500111051622,365.2500111051622,365.2500111051622,0.13516977429389954
101,116347_46061,ID,0.08879789710044861,0.08883939683437347,0.22923946380615234,0.39704546332359314,365.2499995525115,365.2499995525115,365.2499995525115,0.08727794140577316
102,115195_48971,MT,0.12004456669092178,0.054763324558734894,0.32607781887054443,0.04131187126040459,365.25000208692444,365.25000208692444,365.25000208692444,0.15648683905601501
103,112459_42590,ID,0.10123755782842636,0.058197181671857834,0.2832806408405304,0.07622072100639343,365.2499953670735,365.2499953670735,365.2499953670735,0.1462007611989975
104,103264_47601,ND,0.10067413747310638,0.04914099723100662,0.3296918570995331,0.05017545819282532,365.24998834505016,365.24998834505016,365.24998834505016,0.1450626254081726
105,116359_48894,ID,0.10386791080236435,0.023163458332419395,0.32097098231315613,0.025729788467288017,365.24999753221863,365.24999753221863,365.24999753221863,0.11951824277639389
106,116886_47339,ID,0.09306859970092773,0.040102701634168625,0.31341683864593506,0.042218588292598724,365.2499968877468,365.2499968877468,365.2499968877468,0.126828134059906
107,109677_48551,MT,0.09054192900657654,0.02438657358288765,0.2999577224254608,0.01969103142619133,365.25000255447947,365.25000255447947,365.25000255447947,0.12888525426387787
108,112364_48607,MT,0.0944075882434845,0.047537799924612045,0.4145178496837616,0.042021509259939194,365.2500099067629,365.2500099067629,365.2500099067629,0.14736759662628174
109,105620_41320,WY,0.1040765717625618,0.04275158792734146,0.1992979347705841,0.04892219603061676,365.2500073719668,365.2500073719668,365.2500073719668,0.14416709542274475
110,106814_41452,WY,0.09493887424468994,0.09118862450122833,0.16282887756824493,0.6912181973457336,365.25000725067457,365.25000725067457,365.25000725067457,0.08964448422193527
111,114096_46927,MT,0.08811459690332413,0.060630906373262405,0.21695061028003693,0.3667592704296112,365.2499986302349,365.2499986302349,365.2499986302349,0.11404890567064285
