fold,site,state,inference_days,actual_inference_days,n_infer_points,rmse_log,mae_log,r2_log,infer_time
31,114189_48364,MT,200,200,13442,0.6064087134077681,0.4608821885158927,0.3142033634172686,0.7433338798582554
31,114189_48364,MT,250,250,16609,0.6210318971456553,0.4683995300674833,0.28072941752616554,1.522726739058271
31,114189_48364,MT,300,300,19833,0.5972747892500212,0.4512950042593479,0.3347071557371146,3.119144103024155
31,114189_48364,MT,350,350,23104,0.599978155836704,0.452579237517807,0.3286710708251651,3.317853396991268
31,114189_48364,MT,400,400,26494,0.6076232249947742,0.45696393806264174,0.3114535941133021,3.4251277199946344
32,111987_46850,MT,25,25,1684,0.5772332479641993,0.4434346673257886,0.2694302306471773,0.16708417795598507
32,111987_46850,MT,50,50,3353,0.5677498902343917,0.43515238690848745,0.2932380843737824,0.13277161796577275
32,111987_46850,MT,100,100,6466,0.535588312974267,0.40866432929827023,0.371042638174936,0.2077163530047983
32,111987_46850,MT,150,150,9821,0.5399068091743445,0.4083025609992985,0.3608590692269099,0.41605299711227417
32,111987_46850,MT,200,200,13058,0.5251601100312391,0.411200901269597,0.395296499522071,0.7184109052177519
32,111987_46850,MT,250,250,16723,0.5164867317786997,0.3948140506567426,0.4151057393284777,1.5199673329479992
32,111987_46850,MT,300,300,19799,0.49905298542119997,0.3775043895276146,0.4539249461712904,2.648029827978462
32,111987_46850,MT,350,350,22998,0.5019849839260642,0.3808133024982773,0.4474895792118587,2.7003255130257457
32,111987_46850,MT,400,400,26665,0.5187608855917151,0.3928362100768326,0.4099436787603613,4.079409696860239
33,104778_41182,WY,25,25,1741,0.6384563612769661,0.4929676430408769,-0.0693774426954159,0.17240861197933555
33,104778_41182,WY,50,50,3372,0.5664442684612089,0.43501959938476115,0.1582503284722535,0.13217222690582275
33,104778_41182,WY,100,100,6668,0.5734847938983277,0.44498864445763764,0.13719551103611616,0.21779429190792143
33,104778_41182,WY,150,150,9934,0.5745808269333856,0.4478546025389507,0.1338944090768751,0.419850290985778
33,104778_41182,WY,200,200,13111,0.5855080259475652,0.45528973161693004,0.10063851037468596,1.719521040096879
33,104778_41182,WY,250,250,16613,0.598074264495176,0.4620149935445282,0.06161985130823733,1.1651288189459592
33,104778_41182,WY,300,300,19574,0.5347675657277505,0.41031672253582124,0.2497626179929444,1.993836590088904
33,104778_41182,WY,350,350,22800,0.5808995329843158,0.4506621878737146,0.11474041704828097,2.6390733090229332
33,104778_41182,WY,400,400,26603,0.5947839121112796,0.4651221329918423,0.07191659270559225,4.208028700901195
34,109455_47049,MT,25,25,1688,0.48854516820259225,0.36566429800239425,0.21191601461860776,0.2435679449699819
34,109455_47049,MT,50,50,3216,0.49849498282592664,0.382048395110553,0.17948855954685927,0.13655790104530752
34,109455_47049,MT,100,100,6315,0.42081881277310157,0.32488149036204467,0.4152727265752385,0.20521086105145514
34,109455_47049,MT,150,150,10187,0.42618854648219007,0.3283611998721632,0.40025504158498326,0.4702126458287239
34,109455_47049,MT,200,200,13121,0.40754440649785495,0.3138866396911178,0.45158044596390234,1.7535194891970605
34,109455_47049,MT,250,250,16680,0.41135636278107984,0.31866769616254015,0.44127320929971103,1.2185185360722244
34,109455_47049,MT,300,300,19629,0.40886815201444643,0.3196473246391343,0.44801201551581027,1.9402121829334646
34,109455_47049,MT,350,350,23208,0.41316683020567474,0.3209680436946368,0.43634423391855015,2.7623690380714834
34,109455_47049,MT,400,400,26449,0.4070700477378919,0.31543813093810574,0.45285636199587487,4.054845546139404
35,107862_48318,MT,25,25,1685,0.5704596974640538,0.437162024246388,0.035309764807755384,0.7619797529187053
35,107862_48318,MT,50,50,3162,0.48233889548230424,0.3671234575364133,0.3103281228228961,0.12559870001859963
35,107862_48318,MT,100,100,6832,0.46978595894258945,0.364020987355219,0.34575861485047543,0.22402617777697742
35,107862_48318,MT,150,150,9928,0.4473492975006384,0.348451990659358,0.4067585778482632,0.4303162698633969
35,107862_48318,MT,200,200,13234,0.45519598184102045,0.36235115507605276,0.3857646776165502,2.2271251541096717
35,107862_48318,MT,250,250,16758,0.4609310728739901,0.3610418400717035,0.3701894654065073,1.1979179768823087
35,107862_48318,MT,300,300,19754,0.4469863106267818,0.3522363366293791,0.4077209197393018,3.321491088019684
35,107862_48318,MT,350,350,23049,0.44332737712675896,0.3445141309430723,0.41737777038692814,2.478602804010734
35,107862_48318,MT,400,400,26528,0.44265985031603894,0.34363262897948926,0.4191309811273819,3.3862584019079804
36,107549_43082,WY,25,25,1639,0.3452672432549259,0.267090012725414,0.44460154487511305,0.340597809990868
36,107549_43082,WY,50,50,3261,0.38929559106725087,0.2933741663275226,0.2939216693602922,0.1347128190100193
36,107549_43082,WY,100,100,6665,0.3476955305875778,0.2716255521999537,0.4367617645787337,0.21363076800480485
36,107549_43082,WY,150,150,9838,0.39107626645235777,0.29651221571713016,0.28744755647945996,0.41234051203355193
36,107549_43082,WY,200,200,13225,0.3457622796711164,0.2648275742064306,0.4430077674790851,1.2694636569358408
36,107549_43082,WY,250,250,16523,0.3349688726553005,0.2587086281031582,0.4772394379759375,1.1215604769531637
36,107549_43082,WY,300,300,19766,0.33609557090517417,0.26093028381427025,0.473716818264473,2.1345257668290287
36,107549_43082,WY,350,350,23295,0.3467963460913133,0.26836833079546035,0.43967120784808045,2.7475305548869073
36,107549_43082,WY,400,400,26419,0.3660176059764905,0.2861548331703389,0.3758372231262742,3.424022007966414
37,108720_42530,WY,25,25,1625,0.5036062620584842,0.40465768765826277,0.24365223592151874,0.17416004301048815
37,108720_42530,WY,50,50,3129,0.4191232214121524,0.318919815021046,0.47613096239452757,0.1335134170949459
37,108720_42530,WY,100,100,6657,0.42830039658126856,0.31798224430682337,0.45293839276301107,0.21412509796209633
37,108720_42530,WY,150,150,10008,0.39854234653377324,0.29550389353171086,0.5263165283660272,0.42950621782802045
37,108720_42530,WY,200,200,13128,0.40872911870929807,0.30507213034469577,0.5017922927989916,1.268311345949769
37,108720_42530,WY,250,250,16791,0.4055128990919524,0.30196738198730266,0.509602067230158,1.1867837039753795
37,108720_42530,WY,300,300,19340,0.4159169819243415,0.3050094503521951,0.48411536867956506,1.9828625228255987
37,108720_42530,WY,350,350,23103,0.41841457856904274,0.30595059230666316,0.47790095359073437,2.7257161759771407
37,108720_42530,WY,400,400,26374,0.40440382173142203,0.2966815474683439,0.5122808746261271,3.440572072053328
38,114371_43683,ID,25,25,1475,0.5891813595688999,0.47447660490039195,-0.078311726110734,0.2119851470924914
38,114371_43683,ID,50,50,3237,0.6225929407972052,0.5001237858275583,-0.20407826190297196,0.12730971188284457
38,114371_43683,ID,100,100,6570,0.6074646153525163,0.4733396056550755,-0.14627363222366885,0.20849194307811558
38,114371_43683,ID,150,150,10062,0.570871637332701,0.44251460556712297,-0.012332697413054428,0.4436532009858638
38,114371_43683,ID,200,200,13066,0.6156238302362959,0.472155598527679,-0.17727298067995667,1.2588187279179692
38,114371_43683,ID,250,250,16499,0.6392370174555099,0.4837622835493326,-0.2693171984490539,1.1274899921845645
38,114371_43683,ID,300,300,19911,0.6146386701550589,0.4753817372494408,-0.17350810253867843,2.135763607919216
38,114371_43683,ID,350,350,22697,0.6110032973996687,0.4692486527211941,-0.1596673755243232,2.6594389569945633
38,114371_43683,ID,400,400,26623,0.6450056293085489,0.4968921986644697,-0.2923297480308711,3.5627724390942603
39,116557_48292,ID,25,25,1724,0.6683355150578467,0.533622229596576,0.14056786169398394,0.17950234794989228
39,116557_48292,ID,50,50,3299,0.6417108440184657,0.47850560966745737,0.20767881764925877,0.13825817103497684
39,116557_48292,ID,100,100,6852,0.647655684586483,0.49803632183267565,0.19293061440417603,0.2338136751204729
39,116557_48292,ID,150,150,9979,0.6294029958790819,0.4740364198900477,0.23778038341671726,2.2439948411192745
39,116557_48292,ID,200,200,13160,0.6244667575003612,0.46738589521676077,0.24968926729615626,0.751702249981463
39,116557_48292,ID,250,250,16700,0.6110447756770075,0.465963984454753,0.28159626640651936,1.7945544151589274
39,116557_48292,ID,300,300,19556,0.6263159552383237,0.47338328313819134,0.2452389832253664,2.0193779019173235
39,116557_48292,ID,350,350,23022,0.6173780731861639,0.4661057918421141,0.26662700799637784,2.395730380900204
39,116557_48292,ID,400,400,26346,0.6254240481036115,0.4748560905680742,0.24738709205303377,3.3287729371804744
40,114252_42680,ID,25,25,1754,0.5120723177234859,0.3876250210588872,0.03969086520958076,0.1730345820542425
40,114252_42680,ID,50,50,3359,0.4983654758803012,0.3994204606384702,0.09041275732321197,0.132483635796234
40,114252_42680,ID,100,100,6546,0.5104939727062479,0.42250922003821006,0.04560160550433989,0.23756180913187563
40,114252_42680,ID,150,150,10189,0.5284598549474739,0.4412247065721467,-0.02275701006197184,0.4740831551607698
40,114252_42680,ID,200,200,13030,0.49793426184070444,0.40755182587625144,0.09198612915507887,1.6901417509652674
40,114252_42680,ID,250,250,16313,0.5375808881324844,0.4398525852664934,-0.05836654498151317,1.169291103957221
40,114252_42680,ID,300,300,19941,0.5215466443996637,0.43189231610831214,0.0038269841432935214,2.042035788996145
40,114252_42680,ID,350,350,23052,0.5738028445090688,0.47857585183073614,-0.20579604793117734,2.7391970180906355
40,114252_42680,ID,400,400,26563,0.5468911392165255,0.45520547901148645,-0.09534325013075162,3.6005115110892802
41,116805_47789,ID,25,25,1705,0.4833488697733892,0.3605224266292175,0.24274109005206113,0.17147119995206594
41,116805_47789,ID,50,50,3440,0.4625205745356164,0.35802343997359326,0.3065979998906565,0.13486553798429668
41,116805_47789,ID,100,100,6561,0.5313501188640771,0.40201708875496595,0.08486631549004564,0.21276862686499953
41,116805_47789,ID,150,150,10049,0.46626600553931447,0.37644675756857304,0.29532237265410766,0.4307619670871645
41,116805_47789,ID,200,200,13203,0.46284877809815006,0.3706325354497157,0.30561357773387254,1.906814280897379
41,116805_47789,ID,250,250,16557,0.48681039261080594,0.38754855277370154,0.23185597026335358,1.1189759310800582
41,116805_47789,ID,300,300,20044,0.5046336788428697,0.40283993163356424,0.1745791395830011,2.050622747046873
41,116805_47789,ID,350,350,23076,0.49507979044129286,0.39914274860048704,0.20553755222498704,2.59793380391784
41,116805_47789,ID,400,400,26484,0.4982379759461552,0.39791562871740543,0.19536924132745614,3.567495630821213
42,116806_46397,ID,25,25,1717,0.6314941129867235,0.49921657330397057,0.043974338506375665,0.839481855975464
42,116806_46397,ID,50,50,3390,0.6050189944612074,0.49290096498732483,0.12245588903190385,0.13097191508859396
42,116806_46397,ID,100,100,6795,0.5851920613017838,0.47342340884524264,0.1790290518965466,0.2178618609905243
42,116806_46397,ID,150,150,10006,0.5723377810936208,0.46287349871398564,0.21469969147735002,0.47879418008960783
42,116806_46397,ID,200,200,12838,0.5690172023975865,0.45833189034796257,0.22378553920029054,1.8801073080394417
42,116806_46397,ID,250,250,16163,0.590528014375833,0.48101972226716555,0.16398908526462308,1.0521083120256662
42,116806_46397,ID,300,300,19969,0.5900753792338422,0.4822291293186766,0.16527018586111097,2.098176147090271
42,116806_46397,ID,350,350,23230,0.5842268936020384,0.4745441993035663,0.18173490269351766,2.7236927240155637
42,116806_46397,ID,400,400,26216,0.6081602657023596,0.49712818983161355,0.11331977834159401,3.4028420571703464
43,116536_46335,ID,25,25,1586,0.6841366428098764,0.5715247364540467,0.15914891170765777,0.5649042639415711
43,116536_46335,ID,50,50,3248,0.59647435659423,0.5085551288084952,0.36082917834655437,0.12648116005584598
43,116536_46335,ID,100,100,6717,0.576841873447853,0.48967359670839905,0.40221234288575236,0.21304858708754182
43,116536_46335,ID,150,150,10021,0.6078109742916953,0.527621429324947,0.33630207370594567,0.42215348896570504
43,116536_46335,ID,200,200,13214,0.641334807736657,0.5397874467276057,0.26107049308793484,1.2077067049685866
43,116536_46335,ID,250,250,16716,0.5408205197619631,0.4535137746483695,0.4745399428316288,1.1351433219388127
43,116536_46335,ID,300,300,19846,0.5888900925620006,0.49803222411103737,0.3769801527198521,1.659079879987985
43,116536_46335,ID,350,350,23306,0.5969231120810522,0.5053555937494756,0.3598670605006201,2.3638636039104313
43,116536_46335,ID,400,400,26637,0.5946119930029887,0.5139931144672482,0.3648142956218714,3.2351767839863896
44,114495_42565,ID,25,25,1586,0.47199204965475267,0.36957830343258513,-0.07538808710148115,0.1806108180899173
44,114495_42565,ID,50,50,3299,0.48165385536703675,0.38908829599907935,-0.11986568280206944,0.12772995210252702
44,114495_42565,ID,100,100,6594,0.4866825012021718,0.38862876927903217,-0.14337138025570884,0.2132460968568921
44,114495_42565,ID,150,150,9811,0.4790893563200566,0.3847436833962552,-0.10797229113595219,0.42115683713927865
44,114495_42565,ID,200,200,13280,0.5018936795723671,0.4038485637689912,-0.21596005301284005,1.9416749449446797
44,114495_42565,ID,250,250,16469,0.5309941016196885,0.4257889706900967,-0.36105366157721774,1.143332079052925
44,114495_42565,ID,300,300,20043,0.5210101417299146,0.4212716031227109,-0.3103527026207733,2.423984575085342
44,114495_42565,ID,350,350,22666,0.5482483436082558,0.43935624571235726,-0.45094353241600604,2.9101365180686116
44,114495_42565,ID,400,400,26743,0.5333685358771395,0.427646939265112,-0.37325326252440205,3.6044087710324675
45,106278_42846,WY,25,25,1577,0.47861318182759965,0.3834887727039553,0.03518505450741116,1.4391506570391357
45,106278_42846,WY,50,50,3573,0.5199764628828875,0.4362543639806276,-0.13878590152596115,0.1327359159477055
